Тип;Время_мс;Операции
Insert;0,001900;63
Insert;0,002200;81
Insert;0,002300;72
Insert;0,001900;59
Insert;0,002500;77
Insert;0,001600;54
Insert;0,001700;54
Insert;0,001900;77
Insert;0,002400;81
Insert;0,002000;68
Insert;0,001900;63
Insert;0,001300;36
Insert;0,001400;41
Insert;0,001800;59
Insert;0,002000;72
Insert;0,001500;54
Insert;0,002400;77
Insert;0,001700;50
Insert;0,002600;86
Insert;0,001800;63
Insert;0,002000;63
Insert;0,001500;45
Insert;0,001800;59
Insert;0,001400;41
Insert;0,001400;41
Insert;0,001600;50
Insert;0,001900;59
Insert;0,013100;50
Insert;0,001300;36
Insert;0,002000;59
Insert;0,002300;72
Insert;0,001500;45
Insert;0,001600;59
Insert;0,001200;36
Insert;0,001800;77
Insert;0,001100;41
Insert;0,001600;68
Insert;0,001200;41
Insert;0,001000;41
Insert;0,001200;41
Insert;0,001000;36
Insert;0,001900;72
Insert;0,001200;54
Insert;0,001800;72
Insert;0,001100;45
Insert;0,001500;45
Insert;0,001200;36
Insert;0,002200;77
Insert;0,001600;59
Insert;0,002400;81
Insert;0,002400;81
Insert;0,001700;59
Insert;0,001400;45
Insert;0,001400;50
Insert;0,002600;90
Insert;0,002700;95
Insert;0,001400;45
Insert;0,002000;72
Insert;0,002100;90
Insert;0,001900;72
Insert;0,002400;86
Insert;0,002100;72
Insert;0,001900;63
Insert;0,001400;63
Insert;0,001600;54
Insert;0,001100;32
Insert;0,002000;72
Insert;0,003100;104
Insert;0,001200;36
Insert;0,002500;81
Insert;0,001700;63
Insert;0,002000;72
Insert;0,001900;63
Insert;0,001500;59
Insert;0,003300;72
Insert;0,001100;50
Insert;0,001400;54
Insert;0,001500;54
Insert;0,001100;36
Insert;0,001300;59
Insert;0,002500;104
Insert;0,001000;32
Insert;0,001900;54
Insert;0,002100;72
Insert;0,001500;50
Insert;0,002100;68
Insert;0,000800;32
Insert;0,001100;41
Insert;0,001500;54
Insert;0,001400;45
Insert;0,001600;59
Insert;0,002500;86
Insert;0,002400;72
Insert;0,002400;77
Insert;0,001800;59
Insert;0,001600;54
Insert;0,002300;72
Insert;0,001400;50
Insert;0,001600;45
Insert;0,001500;54
Insert;0,002400;81
Insert;0,002000;68
Insert;0,001700;72
Insert;0,002300;86
Insert;0,001500;54
Insert;0,002400;90
Insert;0,001700;68
Insert;0,001600;50
Insert;0,002100;77
Insert;0,001600;50
Insert;0,002300;72
Insert;0,001800;63
